,Datetime,Text,user,retweets
16,2020-01-24 05:51:49+00:00,Was explaining the Wuhan coronavirus to this girl today and she was like “I still don’t know what the fuck corona has to do with this but ok”,jojomewa1,0
17,2020-01-24 03:08:34+00:00,The real kicker here is that it’s called “coronavirus” .. ??.. they trying to drag Mexico into everything these dayS!,joeysofficial,0
18,2020-01-24 02:33:36+00:00,The #coronavirus tiktoks have started rolling in ,DonnieDoesWorld,52
19,2020-01-24 02:31:18+00:00,"Hey guys this will be my official thread of photos, vids, and updates I’m getting from China related to the #coronavirus. (1/????) https://twitter.com/DonnieDoesWorld/status/1220356072185135104",DonnieDoesWorld,55
20,2020-01-24 23:39:01+00:00,What about the coronavirus?,ZachGilyard,0
21,2020-01-24 23:01:42+00:00,Taking advantage of the coronavirus I booked travel and hotel to Hong Kong in August for less than the new iPhone.,TheKungFuGenius,0
22,2020-01-24 22:24:44+00:00,In the hospital in China. The nurses and doctors are depressed and helpless facing the situation. It has lost control. Information and data should be transparent. #coronavirus #WHO #冠状病毒 #GlobalEmergency #肺炎 – at Crowne Plaza Times Square Manhattan,Babytiger128,20
23,2020-01-24 22:15:12+00:00,"China builds 1,000-bed coronavirus hospital in Wuhan at the epicenter of the outbreak ",JackNastyyy,0
24,2020-01-24 21:58:57+00:00,I know some dusty bitch in the bronx gotta have that coronavirus,iWantThoseKicks,0
25,2020-01-24 21:14:36+00:00,"My dad got a rash on his hand and gonna say aw man, I must have the corona virus. Sir I will turn you in go find out what that shit is",simplypaloma,0
26,2020-01-24 20:57:01+00:00,4 people in NY under observation for Coronavirus ,LegrottagIie,1
27,2020-01-24 18:48:34+00:00,"Coronavirus: Are People Dying in the Streets in China? (Hake News, Fri. 1/24/20) ",TheHakeReport,1
28,2020-01-24 17:55:58+00:00,"I googled coronavirus:Common Symptoms of Coronavirus The symptoms of most coronaviruses are similar to any other upper-respiratory infection, runny nose, coughing, sore throat, and maybefever. you won't know you have a coronavirus or cold-causing virus, such as rhinovirus",Melissa22579274,0
29,2020-01-24 17:51:52+00:00,You seeing this coronavirus shit?,leelonnggg,0
30,2020-01-24 17:45:06+00:00," USA TODAY: Coronavirus: US says 'do not travel' to Wuhan, China; airlines offer travel waivers. https://www.usatoday.com/story/travel/news/2020/01/24/coronavirus-outbreak-leads-state-department-issue-level-4-advisory/4562349002/ via @GoogleNews",Tony98Tony,0
31,2020-01-24 15:42:19+00:00,I hope I don’t get the coronavirus I got like every weird flu thing that caused hysteria,bluetsss,0
32,2020-01-24 15:41:53+00:00,Remember I said it!!! CDC confirms second US Wuhan coronavirus case ,SkeeStylus,0
33,2020-01-24 15:36:48+00:00,Can we stop embarrassing ourselves by comparing us to them? Please? With a coronavirus on it? ,paritoshZero,0
34,2020-01-24 14:53:34+00:00,Coronavirus fears. China going into lockdown.,IDontKn68957344,0
35,2020-01-24 12:11:32+00:00,Mapping the Outbreak of China’s Coronavirus ,KentUNCBC,0
36,2020-01-24 04:18:00+00:00,"The last truly scary movie I saw was #Contagion glad we were able to make it a reality. #Coronavirus \,,/ Fuck it, the apocalypse is metal. China's top virus lab is in Wuhan, the center of the outbreak https://mol.im/a/7922379",DerrickPrince,2
37,2020-01-24 03:08:09+00:00,China coronavirus: Fears infections will rise as hundreds of millions travel... #CoronaVirus #Travel #China #WHO #Health #Safety #Virus #Asia #USA,BronxTravel,0
38,2020-01-24 01:58:13+00:00,#Breaking From @NJDeptofHealth and @HackensackUMC on possible case of #Coronavirus out of #Edgewater #NewJersey #1010WINS,SamiLiebman,3
39,2020-01-24 01:17:06+00:00,"Coronavirus: death toll rises to 25 in China, with 830 infected – live news ",blanc2618,0
40,2020-01-24 00:40:41+00:00,"""Millions in lockdown as coronavirus fear grips Wuhan and surrounding cities"" ",miocicboris,0
41,2020-01-24 00:37:36+00:00,Jeez my dad has me freaked out about coronavirus. Now sheltering in place,jonathanhung,0
0,2020-01-25 23:41:59+00:00,Yes this is what is most important. Not threat of #coronavirus becoming pandemic. By now #Obama had teams in Africa to successfully contain #ebola. #trumpunfit is #clearandpresentdanger #RemoveTrump .@msnbc .@nytimes .@washingtonpost .@nprpolitics,KarenBRubin,2
1,2020-01-25 23:33:41+00:00,corona virus - terminally chill,omgitsryguy,0
2,2020-01-25 23:16:47+00:00,"Hey, have you guys heard about that corona virus? There’s a beer called corona! Someone should make a joke about that.",TyroneThornhill,0
3,2020-01-25 22:29:43+00:00,"I’m not sure what the policies say about pandemics, but maybe some people will emerge from the coronavirus tunnel with a sudden need for some disability benefits. ",Think_Allison,0
4,2020-01-25 22:23:03+00:00,lmao y’all idiot americans made fun of me and made me feel like a freak for wearing masks and now y’all wanna freak out about catching the corona virus and want to be protected,klayer98_,1
5,2020-01-25 21:34:37+00:00,"If wearing a #mask works, then why are doctors and nurses in #China getting #coronavirus? Sounds like a scam like duck and cover. #CoronavirusOutbreak",stanleymwc,0
6,2020-01-25 19:45:19+00:00,"I survived the Old english, ballentine ale, guinness stout, Md20/20,cisco,pink champale,crazy horse, absolute,paul masson, hennessy, patron, don julio, jose cuevo, and1800 silver viruses, and yall punk asses worried about a coronavirus. -Kareem Green",KareemGreen,0
7,2020-01-25 19:08:21+00:00,“Why would they name a virus after a beer” - oomf re: wuhan corona virus,gay_trickery,0
8,2020-01-25 18:00:27+00:00,Chinese president warns of 'accelerating spread' of coronavirus and grave public health situation... #CoronaOutbreak #Virus #Health #Risk #CoronaVirus #Travel #Wuhan #China,BronxTravel,0
9,2020-01-25 14:48:20+00:00, can’t let this coronavirus catch niggas slippin ,goldenpolaroid,2
10,2020-01-25 14:34:11+00:00,Fam I’m damn there considering not traveling for my birthday because if that coronavirus. I got a layover in Shanghai ,PhifeDiggidy,0
11,2020-01-25 13:10:39+00:00,When you find out the guy you’ve caught feelings for just caught coronavirus and you’ll have to just admire him from afar ,itslinklauren,7
12,2020-01-25 11:23:37+00:00,"Virility “As an epidemiologist, I’m really deeply worried about this new coronavirus outbreak. 1) virus has an upward infection trajectory curve much steeper than SARS. 2) can be transmitted person to person before symptoms appear - it is silently contagious.” v @DrEricDing",Convertbond,3
13,2020-01-25 05:09:01+00:00,Ofc but for now I coming home before this coronavirus reach me I ain’t able ohhh,therealmaxstarr,0
14,2020-01-25 04:27:02+00:00,China restricts travel for 35 million people to halt spread of deadly virus... #CoronaOutbreak #China #Virus #Travel #Health #CoronaVirus #NewYorkCity #USA,BronxTravel,0
15,2020-01-25 04:13:37+00:00,Coronavirus cases in U.S. prompt Howard County Chinese School to cancel Lunar New Year gala as a precaution ,christinezhang,0
16,2020-01-25 02:27:46+00:00,my family won’t stop joking about me having coronavirus ,SowaaSays,1
